bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"এইচএসবিসি ব্যাংক এটিএম, "
"শকুনের খাঁচা, "
"ব্রাহ্মণগাঁও, "
"সড়ক ৬ সেকটর ১, "
"মগবাজার-মৌচাক ফ্লাইওভার, "
"আদি বাংলার স্বাদ রেস্টুরেন্ট, "
"ঢাকা-চটটগরাম মহাসড়ক, "
"সুটিবাড়ী বাজার মসজিদ, "
"কাজী অফিস সড়ক, "
"শ্রী শ্রী রাধা কৃষ্ণ মন্দির, "
"আলমডাঙগা সোনা পটটি সড়ক, "
"উখিয়া, "
"ছাতা মসজিদ, "
"এ.কে. স্কুল অ্যান্ড কলেজ প্রধান শাখা, "
"শ্রীফলতলা, "
"খিলা, "
"পাগলা বাবুর্চি রেস্টুরেন্ট, "
"ঢাকা মহানগর বাইপাস, "
"শোভা কলোনী মসজিদ, "
মাইজদী-রামগঞ্জ সড়ক
"মূক্তিযোদ্ধা মার্কেট, "
"বগুড়া পূর্ব বাইপাস, "
"হোটনী, "
"আইনাল হাজী গলি, "
"বাসাইদ, "
কাশীপুর বাজার সড়ক
"শেখ ফাজিল রাঃ জামে মসজিদ, "
"গণমাঠ, "
"পুরাতন রেলওয়ে ষ্টেশন বস্তি ওয়ার্ড ৩, "
"মোজাফ্ফর ষ্টোর, "
"ভাই ভাই মার্কেট সড়ক, "
"লামচর, "
"ডাচ-বাংলা ব্যাংক লিমিটেড ফার্স্ট ট্র্যাক এটিএম, "
"বনানী ডিওএইচএস পরিষদ ও কমিউনিটি সেন্টার, "
"রুহিয়া রেল ষ্টেশন, "
"সিপাহীবাগ, "
"হাফেজ সুপার মার্কেট, "
"সটাকি, "
"বাংলাদেশ ক্রীড়া শিক্ষা প্রতিষ্ঠান, "
"বরিশাল লঞ্চঘাট, "
"পোলের গোড়া মসজিদ ও ঈদগাহ, "
"মহদ্দিরবাগ, "
"জাহাঙ্গীরপুর টি আমিন পাইলট উচ্চ বিদ্যালয়, "
"সড়ক ৩১, "
"ইসলামী ব্যাংক এটিএম, "
"বায়তুল ফাযাল মসজিদ, "
"মল্লিকপুর, "
"বরৈ পুকুরিয়া, "
"জেলা পরিষদ রেস্ট হাউস, "
"ঝাউগড়া কেন্দ্রীয় জামে মসজিদ, "
"কুয়াকাটা সমুদ্র সৈকত, "
"মোকামিয়া বাজার, "
দোহাজারী সড়ক সেত
"লন্ডন ভিলা গলি, "
"বেতপট্টি জামে মসজিদ, "
"নিরিবিলি ক্যাফে এন্ড ফুড কার্ট, "
"হাপানিয়া, "
"শাহজাহানপুর থানা, "
"দীঘলদী, "
"মিরপুর ডিওএইচএস, "
"নতুন হাট, "
"মোল্লা জামে মসজিদ, "
"ডাচ-বাংলা এটিএম বুথ, "
"মোহাম্মদ নগর, "
"পূরব রসলপর ১নং সড়ক, "
"ফজলে রাববি সড়ক, "
"নাঈম হার্ডওয়ার & ইলেক্ট্রনিক স্টোর, "
"আজমীর হোটেল এন্ড বিরানী হাউস, "
"মানিক মিয়া এভিনিউ, "
"শ্যামবাবু লেন, "
"দৌলতদিয়া ফেরি টার্মিনাল, "
"জামিয়া ইসলামিয়া উনুসিয়া মাদ্রাসা, "
"পাবলিক লাইব্রেরি, "
"হাটশ হরিপুর, "
"পিরোজপর-বাগেরহাট মহাসড়ক, "
"আদর্শ বাজার মসজিদ, "
"এইচ/এস এন্টারপ্রাইজ গলি, "
"বড়চওনা-কুতুবপুর কলেজ মাঠ, "
"জয়দেবপুর জংশন, "
"হোগলপাতি খালের উপরের সেত, "
"শামলাপুর, "
"ইসলামী ব্যাংক বাংলাদেশ লিমিটেড আইবিবিএল, "
"মাগুরা-ফরিদপুর মহাসড়ক, "
"বলক ফ সড়ক ১৮, "
"পাইটি ওয়াসা রোড, "
"ইসলামী ব্যাংক মহিলা মাদ্রাসা, "
"মহিষবাথান উত্তরপাড়া জামে মসজিদ, "
"আবদল করিম মনসী সড়ক, "
"ঘিওর উপজেলা, "
"পানকাতা সরকারি প্রাথমিক বিদ্যালয়, "
"ইকু ফিলিং স্টেশন, "
"বরুড়া, "
"বিশ্বনাথ উপজেলা স্বাস্থ্য কমপ্লেক্স, "
রথঘর-মজমদারপাড়া রোড
"রামপুরা-বনশ্রী সড়ক, "
"পূর্ব রসুলপুর ১নং সড়ক, "
"বাইশারী বাজার, "
"পাকুল্লা, "
"শিবচর, "
"১ নং নূরজাহান সড়ক, "
"আল-আরাফা ইসলামী ব্যাংক লিমিটেড, "
"সুরুজবাগ বাইতুল মাকদিস জামে মসজিদ, "
বারোবৈয়ার হাট স্থানীয় সড়ক
"পলান বক্স সড়ক, "
"লতার চর, "
"ইটনা, "
"তুষখালী লঞ্চঘাট, "
"জান্নাতবাগ জামে মসজিদ, "
"করাইল দারুস সুন্নাহ মহিলা মাদ্রাসা, "
"হেলাল স্টোর, "
"পটিয়া শিশু পার্ক, "
"বিএম স্কুল, "
"আশাশুনি, "
"হীরা সুইটস এন্ড কনফেকশনারী, "
"আফসার উদ্দীন খান পাঞ্জেগনা মসজিদ, "
"বউ বাজার কাঁচা বাজার, "
"মধ্য রসুলপুর ২ নং গলি, "
থুলনা সাতক্ষীরা মহাসড়ক
"নবাবগঞ্জ পার্ক মাঠ, "
"জসীমউদ্দিন হল সড়ক, "
"বালু দক্ষিনপাড়া নূরানী জামে মসজিদ, "
"আশুগঞ্জ, "
"চাতরা দ্বিমুখী উচ্চ বিদ্যালয়, "
"পাঁচদোনা পুলিশ ফাড়ি, "
"মালিবাগ বাজার, "
"বেড়া দলীল লেখক সমিতি, "
সেনবাগ রোড
"চৌরাস্তা মসজিদ, "
"ফায়ার সার্ভিস এন্ড সিভিল ডিফেন্স সীতাকুণ্ড, "
"কাঁচপুর বাস স্টপ, "
ফটিকছড়ি উপজেলা এরিয়া রোড
"তিসতা বযারেজ, "
"নাদুড়িয়া, "
"গোগনগর বড় জামে মসিজদ, "
"ফায়দাবাদ, "
"সিলেট জেলা, "
"জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের বাস স্টেশন, "
"দিনাজপর জেলা, "
"দেশখিরশিন ঈদগাহ ময়দান, "
"মধ্য বাড্ডা, "
"খিলগাও কমিউনিটি সেন্টার, "
"হারামিয়া, "
"শান্ত সিএনজি রি-ফুয়েলিং স্টেশন, "
"সাহেববাড়ি জামে মসজিদ সোনাউল্লাহ তালুকদার ওয়াকফে স্টেট, "
"খোরশেদ আলম মিয়া রেসিডেন্স, "
"রূপসদী উত্তর বাজার জামে মসজিদ, "
"সড়ক ১০বি, "
"ঝিল মসজিদ, "
বেপারী পাড়া লেন
"রায়পুরা, "
"ফারুক মিয়ার বাড়ীর গলি, "
"জিগাতলা, "
"আমহটট সড়ক, "
"অায়েশা কমিউনিটি সেন্টার, "
"মাহবুবা হক এতিমখানা ও হাফিজিয়া মাদ্রাসা, "
"সিটি ব্যাংক লিমিটেড এটিএম, "
"দাসের কান্দি মাদ্রাসা মসজিদ, "
"রূপসদী উত্তর বাজার, "
"মরজাল কাঠ বাজার, "
